Staat,Januar,Februar,März,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,Gesamt,davon in Drittstaaten
Albanien,13,0,24,0,79,68,35,75,47,23,23,4,391,0
Bosnien,54,46,41,15,30,27,7,1,18,0,15,0,254,0
Bulgarien,2,0,2,0,1,0,1,1,0,0,0,1,8,0
Estland,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Kroatien,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Griechenland,0,0,0,0,0,0,0,0,2,0,0,0,2,0
Lettland,0,3,0,2,1,1,0,2,1,0,2,0,12,0
Litauen,1,2,4,0,2,1,1,2,2,2,2,0,19,0
Makedonien,0,1,0,1,1,6,4,1,0,9,0,0,23,0
Moldau,0,0,0,0,0,0,14,1,6,80,69,38,208,1
Niederlande,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Kosovo,46,38,18,11,32,43,84,34,51,0,22,0,379,0
Polen,3,1,1,4,8,4,5,1,4,1,6,0,38,0
Rumänien,0,1,3,1,2,1,0,3,3,1,1,0,16,0
Slowakische Rep.,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Russland,3,2,6,0,0,0,2,5,2,0,4,0,24,1
Türkei,0,7,2,4,2,0,0,1,1,4,0,4,25,0
Tschechische Rep.,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Ungarn,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Ukraine,0,0,0,0,0,0,1,1,2,0,0,0,4,0
Weißrussland,0,1,1,0,0,1,0,0,0,0,0,0,3,0
Serbien,63,30,47,47,75,57,53,12,45,0,10,0,439,0
Algerien,0,0,1,1,1,0,0,0,0,0,0,0,3,0
Eritrea,0,0,0,0,0,0,0,2,0,0,2,0,4,4
Nigeria,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Gambia,0,0,2,0,0,0,0,0,0,0,0,0,2,0
Ghana,2,0,0,0,0,1,1,0,0,0,0,1,5,0
Mali,0,1,0,0,0,0,0,0,0,1,0,0,2,1
Marokko,1,0,0,0,0,0,0,2,0,0,0,1,4,2
Burkina Faso,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Guinea,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Somalia,1,0,0,1,0,0,0,0,0,2,1,0,5,2
Tunesien,0,0,0,1,1,0,1,0,1,1,0,0,5,0
Ãgypten,0,2,4,0,0,0,0,0,1,2,1,1,11,11
Brasilien,0,0,0,0,0,0,0,0,1,0,1,0,2,0
USA,2,0,0,0,0,0,0,0,0,0,0,0,2,0
Armenien,1,1,2,0,0,0,0,1,0,0,0,0,5,0
Afghanistan,1,0,1,1,0,1,2,3,1,3,5,5,23,23
Aserbaidschan,1,0,1,0,1,0,0,0,0,0,0,0,3,0
Georgien,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Vietnam,4,0,1,1,1,2,2,0,1,1,4,2,19,0
Irak,1,0,2,1,1,1,1,5,0,2,2,4,20,20
Iran,0,1,0,0,0,0,1,0,0,0,0,0,2,2
Kasachstan,0,0,2,0,0,0,0,0,0,1,2,0,5,0
Libanon,0,0,0,0,0,0,0,0,0,1,1,0,2,2
Bangladesch,0,0,0,0,1,0,0,1,0,0,0,0,2,0
Pakistan,1,0,4,0,0,0,2,0,2,0,0,0,9,9
Turkmenistan,0,0,0,0,0,0,0,8,0,0,0,0,8,8
Syrien,4,0,2,0,0,0,0,1,1,0,3,0,13,13
VR China,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Staatenlos,0,0,0,0,0,0,0,2,2,0,0,0,4,4
Ungeklärt,2,0,0,0,0,1,1,0,0,3,3,2,12,11
Gesamt,207,139,175,92,240,215,218,166,195,137,180,64,2.028,115
Gesamt in Drittstaaten,11,7,13,2,1,2,7,22,7,12,18,13,115,115
Kasachstan,0,0,2,0,0,0,0,0,0,1,2,0,5,
Libanon,0,0,0,0,0,0,0,0,0,1,1,0,2,
davon in Drittstaaten,0,0,0,0,0,0,0,0,0,1,1,0,2,
Bangladesch,0,0,0,0,1,0,0,1,0,0,0,0,2,
Pakistan,1,0,4,0,0,0,2,0,2,0,0,0,9,
davon in Drittstaaten,1,0,4,0,0,0,2,0,2,0,0,0,9,
Turkmenistan,0,0,0,0,0,0,0,8,0,0,0,0,8,
davon in Drittstaaten,0,0,0,0,0,0,0,8,0,0,0,8,8,
Syrien,4,0,2,0,0,0,0,1,1,0,3,0,13,
davon in Drittstaaten,4,0,2,0,0,0,0,1,1,0,3,1,13,
VR China,0,0,0,0,0,0,0,0,1,0,0,0,1,
Staatenlos,0,0,0,0,0,0,0,2,2,0,0,0,4,
davon in Drittstaaten,0,0,0,0,0,0,0,2,2,0,0,0,4,
Ungeklärt,2,0,0,0,0,1,1,0,0,3,3,2,12,
davon in Drittstaaten,2,0,0,0,0,0,1,0,0,3,3,2,11,
Gesamt,207,139,175,92,240,215,218,166,195,137,180,64,2.028,
davon in Drittstaaten,11,7,13,2,1,2,7,22,7,12,18,13,115,